Tract,Latitude_x,Longitude_x,Total Population_x,Housing Unit Estimate,Longitude_y,Latitude_y,California County_x,Pollution Burden,Education,Asthma,Asthma Pctl,PM2.5,Tox. Release,Tox. Release Pctl,Pollution Burden Score,California County_y,Total Population_y,Hispanic (%),White (%),African American (%),Native American (%),Asian American (%),Latitude,Longitude,Total Population,White Only Percentage,Non White Only Percentage,CNTY_NAME,LOWINCOME,PEOPCOLORPCT,LIFEEXPPCT,DSLPM,CANCER,RESP,RSEI_AIR,D2_DSLPM,D5_DSLPM,D2_PM25,D5_PM25,D2_CANCER,D5_CANCER,D5_RESP,D2_RESP,Shape_Length,Shape_Area
6037554301,33.8822626,-118.1456094,3499.0,1077.0,-118.1456075,33.8822564,Los Angeles,57.35,27.8,51.79,58.71,12.01505311,6522.539917,94.74,7.0,Los Angeles,3499,66.16,10.77,15.32,0.0,7.75,33.8822626,-118.1456094,3499.0,16.94769934,83.05227692,Los Angeles,1101,0.889083992,0.227692308,0.426346821,30.0,0.4,3148.978739,52.09792271,14.21423188,56.94424111,15.536486,25.44317156,6.941834172,9.421060662,34.53001854,0.042015173,6.58379e-05
6037570602,33.856156,-118.1729328,6557.0,1730.0,-118.1729332,33.8561559,Los Angeles,53.19,22.1,89.18,89.31,12.0198097,7717.75008,95.99,6.5,Los Angeles,6177,48.89,7.2,10.59,0.0,30.84,33.856156,-118.1729328,6557.0,13.58853134,86.41145548,Los Angeles,1835,0.927973809,0.212307692,0.381956913,30.0,0.4,3198.867599,48.64716357,15.39774775,56.86032102,17.99736748,26.53481649,8.3987715,11.39833275,36.01153667,0.041661923,0.000101572
6037570601,33.8569402,-118.1809849,5235.0,1646.0,-118.1809849,33.8569402,Los Angeles,47.04,27.0,94.42,91.14,12.2095544,8487.453124,96.5,5.74,Los Angeles,5610,57.2,8.54,16.36,4.05,12.75,33.8569402,-118.1809849,5235.0,12.72206304,87.27792029,Los Angeles,1774,0.909498638,0.184615385,0.382406683,30.0,0.4,3528.59184,45.9557905,14.52576872,53.71456031,16.97817122,25.06679482,7.923146574,10.75284178,34.01922154,0.036422247,7.6034e-05
6037570303,33.8596484,-118.1925812,3925.0,1318.0,-118.1925812,33.8596484,Los Angeles,51.71,24.2,94.42,91.14,12.47113428,9065.480146,96.84,6.31,Los Angeles,4471,59.58,5.44,18.07,0.0,12.08,33.8596484,-118.1925812,3925.0,12.56050955,87.43946817,Los Angeles,2352,0.945367133,0.222564103,0.390269827,30.0,0.4,3611.116311,57.64444927,19.22964485,66.40056818,22.15060353,30.64641607,10.22335549,13.87455388,41.59156466,0.035882654,6.00158e-05
6037572600,33.8071157,-118.2140846,5276.0,1249.0,-118.2140846,33.8071157,Los Angeles,64.13,18.5,79.55,84.83,11.68049659,30364.26693,99.8,7.83,Los Angeles,5357,51.41,1.94,8.92,0.17,34.89,33.8071157,-118.2140846,5276.0,9.685367703,90.31461518,Los Angeles,1978,0.95998375,0.174358974,0.345137204,30.0,0.4,19015.08937,47.66199473,12.84098144,53.78996547,14.4919648,28.59719684,7.704588864,10.45622774,38.81048142,0.048846383,0.000123916
6037571800,33.8334835,-118.1970981,3229.0,1332.0,-118.1970981,33.8334835,Los Angeles,58.15,5.9,37.21,36.8,11.72819116,15898.18962,99.12,7.1,Los Angeles,3222,21.57,53.54,9.87,0.0,13.13,33.8334835,-118.1970981,3229.0,54.69185506,45.3081309,Los Angeles,540,0.553101362,0.180512821,0.391713071,30.0,0.4,7004.730437,28.43083711,8.257698965,30.5901412,8.884865988,15.11512859,4.39016907,5.958086595,20.5133888,0.079379297,0.000276623
6037544001,33.8406153,-118.2181146,4689.0,1216.0,-118.2165909,33.8388248,Los Angeles,65.55,32.1,79.55,84.83,12.13159077,26330.9668,99.72,8.0,Los Angeles,4574,69.44,7.02,6.3,0.0,16.3,33.8406153,-118.2181146,4689.0,13.09447643,86.90550503,Los Angeles,1531,0.929912664,0.188717949,0.425516865,30.0,0.4,7142.533061,54.36026202,15.24749504,53.72816594,15.0701986,26.54803494,7.446451068,10.10589788,36.02947599,0.059478726,0.00018243
6037571701,33.847882,-118.199443,6495.0,1762.0,-118.2017298,33.847882,Los Angeles,60.3,21.9,89.38,89.38,12.31736907,13668.29313,98.67,7.36,Los Angeles,6247,65.79,8.6,12.92,0.0,11.12,33.847882,-118.199443,6495.0,15.30408006,84.6959069,Los Angeles,3457,0.926323529,0.227692308,0.404087492,30.0,0.4,6489.881311,58.34760124,19.59651322,63.38998652,21.29003904,30.25431175,10.161155,13.79013893,41.05942309,0.072798907,0.000186359
6037543305,33.8612491,-118.2239158,3251.0,1242.0,-118.2238692,33.8611473,Los Angeles,73.83,22.1,76.74,83.2,12.33969717,15834.33317,99.1,9.01,Los Angeles,3776,50.11,18.88,25.19,0.0,3.29,33.8612491,-118.2239158,3251.0,19.31713319,80.68284199,Los Angeles,1248,0.883219358,0.204102564,0.404012029,30.0,0.4,7019.386557,49.29929195,13.90605586,54.1683578,15.2794935,25.56259583,7.210547484,9.785743014,34.69209434,0.115647589,0.00081694
6037570402,33.8685443,-118.1986552,3391.0,1026.0,-118.1986552,33.8685443,Los Angeles,69.84,22.4,88.49,89.19,12.78098946,9572.14974,97.17,8.53,Los Angeles,3400,52.71,3.53,36.44,0.0,6.12,33.8685443,-118.1986552,3391.0,10.43939841,89.56057518,Los Angeles,1273,0.963325868,0.193846154,0.414576409,30.0,0.4,3871.83587,55.50358069,16.04555904,60.78963595,17.5737075,27.75179035,8.02277952,10.88805792,37.66314404,0.05974435,0.000147714
